"Reporting starts","Reporting ends","Ad name",Age,Gender,"Ad delivery",Results,"Result indicator","Cost per results","Ad set budget","Ad set budget type","Amount spent (IDR)",Impressions,Reach,Ends,"Attribution setting",Bid,"Bid type","Last significant edit","Quality ranking","Engagement rate ranking","Conversion rate ranking","Ad set name",Reaction/Reach,"Post engagements","Link clicks","CTR (link click-through rate)",Frequency,"Instagram follows","Page engagement","Results (initial)","Results (initial) indicator"
2026-07-01,2026-07-31,"Punya Peran Masing-masing",45-54,male,inactive,26505,reach,1918.24184116,50000,Daily,50843,37976,26505,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-07-24T11:29:11+0700,-,-,-,"Micro Targeting A+",0.00041502,22,1,0.002633,1.432786,0,22,,
2026-07-01,2026-07-31,"Punya Peran Masing-masing",45-54,unknown,inactive,117,reach,1777.77777778,50000,Daily,208,158,117,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-07-24T11:29:11+0700,-,-,-,"Micro Targeting A+",0.00854701,1,,,1.350427,0,1,,
2026-07-01,2026-07-31,"Punya Peran Masing-masing",55-64,female,inactive,4411,reach,1877.80548628,50000,Daily,8283,6284,4411,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-07-24T11:29:11+0700,-,-,-,"Micro Targeting A+",0.00068012,3,,,1.42462,0,3,,
2026-07-01,2026-07-31,"Punya Peran Masing-masing",55-64,male,inactive,11457,reach,2006.80806494,50000,Daily,22992,17196,11457,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-07-24T11:29:11+0700,-,-,-,"Micro Targeting A+",0.00069826,11,,,1.500916,0,11,,
2026-07-01,2026-07-31,"Punya Peran Masing-masing",55-64,unknown,inactive,44,reach,2159.09090909,50000,Daily,95,69,44,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-07-24T11:29:11+0700,-,-,-,"Micro Targeting A+",0,,,,1.568182,0,,,
2026-07-01,2026-07-31,"Punya Peran Masing-masing",65+,female,inactive,2580,reach,1877.90697674,50000,Daily,4845,3609,2580,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-07-24T11:29:11+0700,-,-,-,"Micro Targeting A+",0.00077519,3,1,0.027709,1.398837,0,3,,
2026-07-01,2026-07-31,"Punya Peran Masing-masing",65+,male,inactive,8488,reach,1911.52214892,50000,Daily,16225,12001,8488,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-07-24T11:29:11+0700,-,-,-,"Micro Targeting A+",0.00035344,3,,,1.413878,0,3,,
2026-07-01,2026-07-31,"Punya Peran Masing-masing",65+,unknown,inactive,57,reach,1736.84210526,50000,Daily,99,74,57,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-07-24T11:29:11+0700,-,-,-,"Micro Targeting A+",0,,,,1.298246,0,,,
2026-07-01,2026-07-31,"Punya Peran Masing-masing",Unknown,male,inactive,3,reach,1000,50000,Daily,3,3,3,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-07-24T11:29:11+0700,-,-,-,"Micro Targeting A+",0,,,,1,0,,,
2026-07-01,2026-07-31,"Nobar Bola",18-24,female,inactive,194,reach,1484.53608247,50000,Daily,288,204,194,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-07-24T11:29:11+0700,-,-,-,"Micro Targeting A+",0,,,,1.051546,0,,,
