"Awal pelaporan","Akhir pelaporan","Nama iklan",Platform,Penempatan,"Platform Perangkat","Penayangan iklan",Hasil,"Indikator Hasil","Biaya per Hasil","Anggaran Set Iklan","Jenis Anggaran Set Iklan","Jumlah yang dibelanjakan (IDR)",Impresi,Jangkauan,Berakhir,"Pengaturan atribusi",Tawaran,"Jenis tawaran","Editan Signifikan Terakhir","Peringkat kualitas","Peringkat nilai interaksi","Peringkat nilai konversi","Nama set iklan",Reaction/Reach,"Interaksi postingan","Klik tautan","CTR (rasio klik tayang tautan)",Frekuensi,"Pengikut Instagram","Interaksi Halaman","Hasil (awal)","Indikator hasil (awal)"
2026-07-01,2026-07-31,"Punya Peran Masing-masing",Facebook,Kabar,"Web Seluler",inactive,313,reach,1479.23322684,50000,Harian,463,361,313,Berlangsung,"Klik 7 hari atau tayangan 1 hari",0,ABSOLUTE_OCPM,2026-07-24T11:29:11+0700,-,-,-,"Micro Targeting A+",0,,,,1.153355,0,,,
2026-07-01,2026-07-31,"Punya Peran Masing-masing",Facebook,"Reels in-stream","Di aplikasi",inactive,1886,reach,1639.4485684,50000,Harian,3092,2306,1886,Berlangsung,"Klik 7 hari atau tayangan 1 hari",0,ABSOLUTE_OCPM,2026-07-24T11:29:11+0700,-,-,-,"Micro Targeting A+",0,,,,1.222694,0,,,
2026-07-01,2026-07-31,"Punya Peran Masing-masing",Facebook,Marketplace,Desktop,inactive,54,reach,2685.18518519,50000,Harian,145,109,54,Berlangsung,"Klik 7 hari atau tayangan 1 hari",0,ABSOLUTE_OCPM,2026-07-24T11:29:11+0700,-,-,-,"Micro Targeting A+",0,,,,2.018519,0,,,
2026-07-01,2026-07-31,"Punya Peran Masing-masing",Facebook,Marketplace,"Di aplikasi",inactive,5618,reach,2250.26699893,50000,Harian,12642,9377,5618,Berlangsung,"Klik 7 hari atau tayangan 1 hari",0,ABSOLUTE_OCPM,2026-07-24T11:29:11+0700,-,-,-,"Micro Targeting A+",0,3,3,0.031993,1.669099,0,3,,
2026-07-01,2026-07-31,"Punya Peran Masing-masing",Facebook,"Hasil Pencarian","Di aplikasi",inactive,1,reach,1000,50000,Harian,1,1,1,Berlangsung,"Klik 7 hari atau tayangan 1 hari",0,ABSOLUTE_OCPM,2026-07-24T11:29:11+0700,-,-,-,"Micro Targeting A+",0,,,,1,0,,,
2026-07-01,2026-07-31,"Punya Peran Masing-masing",Instagram,Kabar,"Di aplikasi",inactive,5234,reach,1457.96713794,50000,Harian,7631,5641,5234,Berlangsung,"Klik 7 hari atau tayangan 1 hari",0,ABSOLUTE_OCPM,2026-07-24T11:29:11+0700,-,-,-,"Micro Targeting A+",0.00076423,5,,,1.077761,0,5,,
2026-07-01,2026-07-31,"Punya Peran Masing-masing",Instagram,"Beranda Jelajahi","Di aplikasi",inactive,7,reach,857.14285714,50000,Harian,6,7,7,Berlangsung,"Klik 7 hari atau tayangan 1 hari",0,ABSOLUTE_OCPM,2026-07-24T11:29:11+0700,-,-,-,"Micro Targeting A+",0,,,,1,0,,,
2026-07-01,2026-07-31,"Punya Peran Masing-masing",Instagram,"Reels Instagram","Di aplikasi",inactive,58591,reach,1600.75779557,50000,Harian,93790,68758,58591,Berlangsung,"Klik 7 hari atau tayangan 1 hari",0,ABSOLUTE_OCPM,2026-07-24T11:29:11+0700,-,-,-,"Micro Targeting A+",0.00037548,26,,,1.173525,0,26,,
2026-07-01,2026-07-31,"Punya Peran Masing-masing",Instagram,"Instagram Stories","Di aplikasi",inactive,943,reach,1487.80487805,50000,Harian,1403,1014,943,Berlangsung,"Klik 7 hari atau tayangan 1 hari",0,ABSOLUTE_OCPM,2026-07-24T11:29:11+0700,-,-,-,"Micro Targeting A+",0,,,,1.075292,0,,,
2026-07-01,2026-07-31,"Punya Peran Masing-masing",Threads,"Kabar Threads","Di aplikasi",inactive,44,reach,1136.36363636,50000,Harian,50,45,44,Berlangsung,"Klik 7 hari atau tayangan 1 hari",0,ABSOLUTE_OCPM,2026-07-24T11:29:11+0700,-,-,-,"Micro Targeting A+",0,,,,1.022727,0,,,
2026-07-01,2026-07-31,"Nobar Bola",Facebook,"Facebook Reels","Di aplikasi",inactive,4101,reach,1548.89051451,50000,Harian,6352,4440,4101,Berlangsung,"Klik 7 hari atau tayangan 1 hari",0,ABSOLUTE_OCPM,2026-07-24T11:29:11+0700,-,-,-,"Micro Targeting A+",0.00024384,1,,,1.082663,0,1,,
2026-07-01,2026-07-31,"Nobar Bola",Facebook,"Iklan di Facebook Reels","Di aplikasi",inactive,70,reach,1128.57142857,50000,Harian,79,70,70,Berlangsung,"Klik 7 hari atau tayangan 1 hari",0,ABSOLUTE_OCPM,2026-07-24T11:29:11+0700,-,-,-,"Micro Targeting A+",0,,,,1,0,,,
2026-07-01,2026-07-31,"Nobar Bola",Facebook,"Facebook Stories","Di aplikasi",inactive,118,reach,1313.55932203,50000,Harian,155,119,118,Berlangsung,"Klik 7 hari atau tayangan 1 hari",0,ABSOLUTE_OCPM,2026-07-24T11:29:11+0700,-,-,-,"Micro Targeting A+",0,,,,1.008475,0,,,
