"Awal pelaporan","Akhir pelaporan","Nama iklan",Usia,"Jenis kelamin","Penayangan iklan",Hasil,"Indikator Hasil","Biaya per Hasil","Anggaran Set Iklan","Jenis Anggaran Set Iklan","Jumlah yang dibelanjakan (IDR)",Impresi,Jangkauan,Berakhir,"Pengaturan atribusi",Tawaran,"Jenis tawaran","Editan Signifikan Terakhir","Peringkat kualitas","Peringkat nilai interaksi","Peringkat nilai konversi","Nama set iklan",Reaction/Reach,"Interaksi postingan","Klik tautan","CTR (rasio klik tayang tautan)",Frekuensi,"Pengikut Instagram","Interaksi Halaman","Hasil (awal)","Indikator hasil (awal)"
2026-07-01,2026-07-31,"Punya Peran Masing-masing",45-54,female,not_delivering,122,reach,1262.29508197,30000,Harian,154,122,122,Berlangsung,"Klik 7 hari atau tayangan 1 hari",0,ABSOLUTE_OCPM,2026-06-19T11:30:22+0700,-,-,-,"Micro Targeting A+",0,,,,1,0,,,
2026-07-01,2026-07-31,"Punya Peran Masing-masing",45-54,male,not_delivering,636,reach,1371.06918239,30000,Harian,872,643,636,Berlangsung,"Klik 7 hari atau tayangan 1 hari",0,ABSOLUTE_OCPM,2026-06-19T11:30:22+0700,-,-,-,"Micro Targeting A+",0,,,,1.011006,0,,,
2026-07-01,2026-07-31,"Punya Peran Masing-masing",45-54,unknown,not_delivering,1,reach,1000,30000,Harian,1,1,1,Berlangsung,"Klik 7 hari atau tayangan 1 hari",0,ABSOLUTE_OCPM,2026-06-19T11:30:22+0700,-,-,-,"Micro Targeting A+",0,,,,1,0,,,
2026-07-01,2026-07-31,"Punya Peran Masing-masing",55-64,female,not_delivering,52,reach,1307.69230769,30000,Harian,68,52,52,Berlangsung,"Klik 7 hari atau tayangan 1 hari",0,ABSOLUTE_OCPM,2026-06-19T11:30:22+0700,-,-,-,"Micro Targeting A+",0,,,,1,0,,,
2026-07-01,2026-07-31,"Punya Peran Masing-masing",55-64,male,not_delivering,255,reach,1325.49019608,30000,Harian,338,256,255,Berlangsung,"Klik 7 hari atau tayangan 1 hari",0,ABSOLUTE_OCPM,2026-06-19T11:30:22+0700,-,-,-,"Micro Targeting A+",0,,,,1.003922,0,,,
2026-07-01,2026-07-31,"Punya Peran Masing-masing",55-64,unknown,not_delivering,2,reach,1000,30000,Harian,2,2,2,Berlangsung,"Klik 7 hari atau tayangan 1 hari",0,ABSOLUTE_OCPM,2026-06-19T11:30:22+0700,-,-,-,"Micro Targeting A+",0,,,,1,0,,,
2026-07-01,2026-07-31,"Punya Peran Masing-masing",65+,female,not_delivering,32,reach,1437.5,30000,Harian,46,32,32,Berlangsung,"Klik 7 hari atau tayangan 1 hari",0,ABSOLUTE_OCPM,2026-06-19T11:30:22+0700,-,-,-,"Micro Targeting A+",0,,,,1,0,,,
2026-07-01,2026-07-31,"Punya Peran Masing-masing",65+,male,not_delivering,174,reach,1339.08045977,30000,Harian,233,176,174,Berlangsung,"Klik 7 hari atau tayangan 1 hari",0,ABSOLUTE_OCPM,2026-06-19T11:30:22+0700,-,-,-,"Micro Targeting A+",0,1,,,1.011494,0,1,,
2026-07-01,2026-07-31,"Punya Peran Masing-masing",18-24,female,inactive,5869,reach,1646.2770489,50000,Harian,9662,7164,5869,Berlangsung,"Klik 7 hari atau tayangan 1 hari",0,ABSOLUTE_OCPM,2026-07-24T11:29:11+0700,-,-,-,"Micro Targeting A+",0.00051116,4,,,1.220651,0,4,,
2026-07-01,2026-07-31,"Punya Peran Masing-masing",18-24,male,inactive,19610,reach,1704.3345232,50000,Harian,33422,24834,19610,Berlangsung,"Klik 7 hari atau tayangan 1 hari",0,ABSOLUTE_OCPM,2026-07-24T11:29:11+0700,-,-,-,"Micro Targeting A+",0.00015298,5,,,1.266395,0,5,,
2026-07-01,2026-07-31,"Punya Peran Masing-masing",18-24,unknown,inactive,143,reach,1650.34965035,50000,Harian,236,172,143,Berlangsung,"Klik 7 hari atau tayangan 1 hari",0,ABSOLUTE_OCPM,2026-07-24T11:29:11+0700,-,-,-,"Micro Targeting A+",0,,,,1.202797,0,,,
2026-07-01,2026-07-31,"Punya Peran Masing-masing",25-34,female,inactive,10206,reach,1783.26474623,50000,Harian,18200,13531,10206,Berlangsung,"Klik 7 hari atau tayangan 1 hari",0,ABSOLUTE_OCPM,2026-07-24T11:29:11+0700,-,-,-,"Micro Targeting A+",0.00019596,5,,,1.325789,0,5,,
